"seller_id","total_orders","total_revenue","avg_review_score"
"4869f7a5dfa277a7dca6462dcf3b52b2",1124,228071.04,4.12
"53243585a1d6dc2643021fd1853d8905",356,220740.05,4.08
"4a3ca9315b744ce9f8e9374361493884",1785,200561.42,3.80
"fa1c13f2614d7b5c4749cbc52fecda94",581,192774.43,4.34
"7c67e1448b00f6e969d365cea6b010ab",976,188017.85,3.35
"7e93a43ef30c4f03f38b393420bc753a",335,176201.88,4.21
"da8622b14eb17ae2831f4ac5b9dab84a",1308,161993.97,4.07
"7a67c85e85bb2ce8582c35f2203ad736",1151,141130.58,4.23
"1025f0e2d44d7041d6cf58b6550e0bfa",907,139484.38,3.85
"955fee9216a65b617aa5c0531780ce60",1277,133948.81,4.05
"46dc3b2cc0980fb8ec44634e21d2718e",515,126166.26,4.18
"6560211a19b47992c3666cc44a7e94c0",1838,122484.82,3.91
"620c87c171fb2a6dd6e8bb4dec959fc6",733,114015.30,4.22
"7d13fca15225358621be4086e1eb0964",561,113091.19,4.00
"5dceca129747e92ff8ef7a997dc4f8ca",321,110488.73,3.99
"1f50f920176fa81dab994f9023523100",1399,107002.21,3.98
"cc419e0650a3c5ba77189a1882b7556a",1698,106059.06,4.07
"a1043bafd471dff536d0c462352beb48",715,101454.16,4.19
"3d871de0142ce09b7081e2b9d1733cb1",1069,93960.80,4.11
"edb1ef5e36e0c8cd84eb3c9b003e486d",166,79284.55,4.43
